country_idx,safety_title,safety_url,created_at
34,"충칭 등 중국 서남부지역 폭우 및 홍수 관련 유의사항 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=23122&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
49,"연락두절 공고(양인용)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23396&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
32,"일본 우익단체 시위 관련 신변안전 유의(7.13.)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23106&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
49,"연락두절 공고(황재두)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23397&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
34,"재외국민 안전 공지-11<폭염으로 인한 온열질환 주의 안내>","https://www.0404.go.kr/dev/newest_view.nmofa?id=23123&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
미지정,"우기철(5-10월) 화산 등반 및 지방도로 이동 시 안전 유의","https://www.0404.go.kr/dev/newest_view.nmofa?id=23443&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
37,"휴가철 차량 파손 및 절도 관련 주의","https://www.0404.go.kr/dev/newest_view.nmofa?id=23432&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
31,"[이스라엘]북부지역 로켓공격으로 인한 인명피해 발생 및 서안지역 불안정 상황","https://www.0404.go.kr/dev/newest_view.nmofa?id=23030&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-10
미지정,"(모리타니아) [안전공지] 대선 이후 신변안전 주의","https://www.0404.go.kr/dev/newest_view.nmofa?id=22904&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-10
미지정,"호우주의보로 인한 안전 유의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=23320&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-10
미지정,"(모리타니아) [안전공지] 현지 문화 및 관습 존중","https://www.0404.go.kr/dev/newest_view.nmofa?id=22905&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-10
미지정,"(모로코) [안전공지] 현지 문화 및 관습 존중","https://www.0404.go.kr/dev/newest_view.nmofa?id=22889&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-10
1,"(그리스) 아티키 아하르네스(Acharnes) 지역 화재 발생에 따른 안전주의 요망(7.10)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23763&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-10
49,"「재외국민 보호를 위한 대사관 통역인 명단」 등재 희망자 모집 공고","https://www.0404.go.kr/dev/newest_view.nmofa?id=23398&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-10
17,"[7.10.(수) 오전10시-오후6시 Blockade에 따른 신변 안전 공지]","https://www.0404.go.kr/dev/newest_view.nmofa?id=23253&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-10
49,"선교활동 관련 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23399&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-10
26,"(안전공지) 엘살바도르 비상사태 기간 재연장 (2024.07.10~2024.08.08)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23572&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-10
미지정,"중고거래 사기 피해 주의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=23955&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-10
미지정,"개인간 환전 및 물품거래 사기피해 주의","https://www.0404.go.kr/dev/newest_view.nmofa?id=24060&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-09
10,"중고물품 거래 사기 주의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=23691&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-09
43,"한인회 홈페이지 등을 통한 중고거래 사기 피해 주의","https://www.0404.go.kr/dev/newest_view.nmofa?id=24094&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-09
2,"[대사관 안전공지] 말라리아 주의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=24252&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-09
미지정,"[대사관 안전공지] 말라리아 주의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=24264&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-09
미지정,"[대사관 안전공지] 말라리아 주의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=24274&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-09
43,"불심검문 대비 신분증 소지 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=24095&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-09
49,"장마철 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23400&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-09
2,"[대사관 안전공지] 중고거래 빙자 사기피해 방지","https://www.0404.go.kr/dev/newest_view.nmofa?id=24253&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-09
미지정,"[대사관 안전공지] 중고거래 빙자 사기피해 방지","https://www.0404.go.kr/dev/newest_view.nmofa?id=24265&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-09
